dropout,age,gender,other_sports,injury_previous_season,socioeconomic,intrinsic,ide,int,ext,amot,aut_supp
no dropout,14,female,0,no,4,6.75,4.5,1,1,1.25,3.833333333
no dropout,14,male,0,no,4,7,6,1,1.25,1,6.333333333
no dropout,14,male,0,no,5,7,4.25,1,1,1,6.333333333
no dropout,14,male,0,no,5,7,5.25,2.25,1.5,1,6.166666667
no dropout,14,male,1,no,4,6.5,4.75,2,1.25,1,4.166666667
no dropout,14,male,1,yes,4,7,4,1,1,1,6.5
no dropout,14,male,1,yes,4,7,6.25,2.5,1.5,1.75,6.333333333
,14,male,1,no,5,7,5.25,1,1,1,6
,14,female,1,no,4,7,6,1,1,1.25,3.166666667
no dropout,14,female,1,no,5,6.75,3,1,1,1.5,5.166666667
no dropout,14,male,0,no,3,7,5.25,1,1,1,6
no dropout,14,male,0,no,5,5.5,5,5.5,3.5,2.5,4.833333333
no dropout,14,female,0,no,5,7,4.5,1,1,1,4.833333333
dropout,14,male,0,no,5,7,6.25,1.5,2.5,1,5.833333333
no dropout,14,female,1,no,4,7,7,1,1,1,6.833333333
,14,female,1,no,3,7,5.5,1.5,1,1,2.166666667
dropout,14,female,0,no,5,6.75,6.25,2.25,1.75,1,6.666666667
no dropout,14,female,0,no,3,4.25,1.25,2.5,2,2,3.833333333
no dropout,14,female,0,no,4,7,6.75,1.25,1,1,6.833333333
no dropout,14,male,0,yes,5,6.75,5.5,1,1,1,6
no dropout,14,male,0,yes,5,4.5,4,2.75,3.5,3,1
no dropout,14,male,1,no,3,7,4,1,1,1,5.5
dropout,14,female,0,no,5,3.25,2.75,2.5,2.75,3.25,6.166666667
no dropout,14,male,0,yes,3,7,4,1.5,1.5,1.25,6.166666667
dropout,14,male,0,no,5,7,3.75,1.75,1.5,1,5.166666667
no dropout,14,female,1,no,5,6.25,5.25,4.25,2.75,4,4.166666667
no dropout,14,female,0,no,4,7,4.75,1,1,1.25,5.166666667
no dropout,14,female,0,no,3,7,4.75,1,1,1,7
no dropout,14,male,3,no,5,7,6.666666667,1,1,1,7
dropout,14,male,0,yes,5,7,4.5,1,1,1,4.333333333
no dropout,14,female,1,yes,4,6.75,4.25,2.25,1,1.25,4
no dropout,14,male,1,no,3,5.75,4,1.5,1.75,1,6
no dropout,14,female,0,no,3,6.75,6.5,2.75,1.5,2,5.666666667
no dropout,14,female,1,no,5,6.25,2,2.5,1,4,6
,14,female,0,no,3,7,4.5,3.5,2.75,1,3.833333333
no dropout,14,male,0,no,5,7,6.75,3,3.25,1,7
dropout,14,female,0,no,5,5.5,4.25,2,2.25,2.25,5.666666667
dropout,14,male,5,no,4,6.75,2.25,1,1,1,5.666666667
no dropout,14,female,0,no,5,7,4.25,1.5,1,1,5.833333333
no dropout,14,female,0,no,4,6,2.25,1,2.75,1.5,5.333333333
no dropout,14,male,0,no,4,5.5,5.25,2,2,1,3
no dropout,14,male,1,no,4,6.75,4.5,1,1.25,1,5.6
no dropout,14,female,0,no,4,6,4.75,1.25,1,1,4.333333333
no dropout,14,female,1,no,3,7,2.75,2.75,1.75,1.25,5.666666667
no dropout,14,male,1,no,4,6.5,5.75,5,4.5,4.5,5
no dropout,14,female,1,no,5,6.75,4,1,2,1.25,3.333333333
no dropout,14,male,0,no,3,7,5.5,1,1,1,6.166666667
no dropout,15,male,0,yes,5,7,4.75,1,1,1,6.5
no dropout,15,male,0,no,5,7,2.75,1.5,3,2.25,6
,15,male,3,yes,4,7,6.5,2.333333333,1,2.25,5.166666667
no dropout,15,male,0,no,,1.75,1,2.5,5.5,4.75,6.666666667
no dropout,15,male,0,no,5,7,7,1,1,1,6.666666667
no dropout,15,male,1,no,4,7,3.75,1,1,1,6.166666667
no dropout,15,male,0,no,4,7,6,1,1,1,4.666666667
no dropout,15,male,0,no,4,7,5.75,1.25,3.25,1.75,6.833333333
no dropout,15,male,0,no,5,7,4.25,1,1.75,1.75,4.833333333
no dropout,15,male,0,yes,5,7,7,1,1,1,7
no dropout,15,male,0,no,3,7,5.25,1,1,1,7
no dropout,15,male,0,no,5,7,3.5,2,1.5,1,6.333333333
no dropout,15,male,1,no,5,6,4.5,2.25,2.25,2,5.333333333
no dropout,15,male,0,no,5,7,7,2.5,1,1,5.166666667
no dropout,15,male,1,no,5,7,6,1,1,2,6
dropout,15,female,0,no,5,6.5,4.75,1,1,1,7
no dropout,15,female,0,no,5,4.25,1.75,2.75,3,3,5.666666667
no dropout,15,male,0,no,5,7,3.75,1,1,1,5.833333333
no dropout,15,male,0,yes,5,7,7,1,2.5,1,5.5
no dropout,15,male,0,yes,5,7,4,1,1,2.5,7
dropout,15,male,1,no,5,5.25,4.5,1,1,1.75,4.5
dropout,15,male,0,no,5,6.5,3.25,2,1,1,5
no dropout,15,male,0,no,4,7,7,2.5,2.5,1,4.166666667
no dropout,15,male,0,no,5,7,5.75,1,1,1,6
no dropout,15,male,0,yes,5,7,5.5,1,1,1,6.666666667
no dropout,15,male,0,no,5,7,6.75,4,2,1,6.5
no dropout,15,male,0,no,5,7,4,1,1.25,1,6.833333333
no dropout,15,male,0,no,5,7,4.75,1,1,1,6.5
no dropout,15,female,1,yes,4,6,5.75,2.75,1.25,1,3.5
no dropout,15,female,1,no,5,7,1.666666667,1,1,1,7
no dropout,15,male,0,yes,4,7,3.75,3.25,3.5,1.75,5.666666667
no dropout,15,female,0,no,4,7,5.5,3.25,1.5,1.75,5.166666667
dropout,15,male,0,no,4,6.25,3,1.5,1.25,1,5.166666667
no dropout,15,female,0,no,5,7,4.75,1,1,1,7
no dropout,15,male,0,yes,4,4.5,2.25,2.75,2,2.25,6
no dropout,15,male,1,no,4,6.75,3.75,1.5,1.5,1.25,4
dropout,15,male,0,yes,4,7,4.75,1.5,1,1,5.333333333
no dropout,15,male,0,yes,3,6,3.666666667,2.25,1.75,1.75,4.5
no dropout,15,male,1,no,4,6.25,3.75,1.5,2.25,2,5.333333333
dropout,15,female,0,no,3,6.25,3.5,1.25,1,2.75,5
no dropout,15,female,0,no,5,7,4.666666667,1,1,1,5.333333333
no dropout,15,male,0,no,4,7,5,1.75,1.25,2.75,5.333333333
no dropout,15,male,0,no,4,7,7,5.5,1,4,7
no dropout,15,male,0,no,4,6.75,4.75,2,1,1,6
no dropout,15,male,0,yes,5,7,4.75,1,1,1,5.333333333
no dropout,15,male,0,yes,4,7,6,1.25,1,1,5.666666667
no dropout,15,male,0,yes,4,7,2.75,1,1,1,5.5
no dropout,15,male,0,no,5,6.75,5.5,4.25,2.25,1.5,6.333333333
no dropout,15,male,1,no,5,3.5,1.5,3,1.25,2.25,5
dropout,15,female,0,yes,4,6.75,5.75,1,1,1,5
dropout,15,female,1,yes,4,7,5.5,1.5,1,1,3.5
no dropout,15,male,0,no,4,7,5.5,1,1,1,6.666666667
no dropout,15,male,0,yes,4,6.75,5.25,1.25,1,1,6
no dropout,15,female,0,no,4,7,2.25,2.5,1.75,1,5.333333333
no dropout,15,male,2,yes,5,6,3,2,3.75,1.75,6
no dropout,15,female,0,no,5,7,4.75,1,1,1,5
no dropout,15,male,0,yes,4,7,6.25,2.25,1.5,1,5.333333333
no dropout,15,male,3,no,3,6.25,2.666666667,1,1,1,6.166666667
no dropout,15,male,0,no,3,7,4.25,1,1,1,5.166666667
no dropout,15,male,0,no,4,6.5,3.25,1,1,1,6
no dropout,15,male,1,no,5,6,4.75,1,1,1,5.833333333
no dropout,15,female,0,no,4,7,4.5,1,1,1,4.833333333
no dropout,15,male,1,yes,3,7,1.75,2.75,1,1,5.166666667
dropout,15,male,0,no,5,7,6,1,1,1,2.666666667
no dropout,15,female,1,no,5,5.75,2.25,1,1,1,5.166666667
no dropout,15,male,0,no,5,4,6.25,1,4,1,6.666666667
dropout,15,female,0,no,3,7,5.25,5.25,4.5,3.5,5.166666667
no dropout,15,female,1,no,5,7,7,1.25,1.5,1,5.333333333
dropout,15,male,0,yes,5,7,4.75,1,1,1,7
no dropout,15,male,1,no,4,5.25,4.75,4,1.75,2.75,4.5
dropout,15,female,0,no,3,7,4.5,1.75,1,1.5,6.333333333
no dropout,15,female,0,no,5,7,5.5,1,1,1,7
dropout,15,male,0,no,3,6.5,6.5,2,1.75,1.25,6.166666667
dropout,15,female,2,no,5,7,3,1,1.25,1,4.666666667
no dropout,15,female,0,yes,4,6.25,3.75,1,1,1.25,5.666666667
dropout,15,female,0,no,4,6.75,1.666666667,1,1,1,5.166666667
no dropout,15,female,0,no,4,7,6,1,3,1,5.666666667
dropout,15,female,0,no,4,6.75,6.25,3.75,3.5,1,5.5
dropout,15,female,0,no,3,5,3.25,1,1,1,6.833333333
no dropout,15,female,0,no,4,7,5.5,1,1,1,5.5
dropout,15,female,0,no,5,6.75,4.25,1,1,1.5,2.333333333
no dropout,15,female,0,yes,4,7,1.75,1,1,1,4
no dropout,15,male,0,no,4,7,4.75,1,1,2,4
no dropout,15,male,0,no,5,7,6.25,1,3.75,1,5.833333333
dropout,15,female,0,no,4,5.5,2.25,3,2.5,1.75,5.666666667
dropout,15,female,0,no,3,6.75,4.75,1.5,1.75,1,6.5
no dropout,15,male,0,no,5,5.5,6.25,2.5,1.5,1.5,6.5
dropout,15,male,1,no,5,7,7,1,1,1,7
no dropout,15,male,0,no,4,3.5,5,2.5,3,3.25,5.833333333
dropout,15,male,0,yes,5,5,2,2.5,3.75,1.5,5.5
no dropout,15,male,2,no,3,7,6.25,2,1.5,1.75,5.833333333
no dropout,15,female,0,no,4,6.25,3.75,2.5,1.5,1.75,6
no dropout,15,male,0,no,4,5.5,4,2.5,2.5,2.5,7
no dropout,15,male,0,no,5,7,5.75,1,1,1,3.5
no dropout,15,male,0,no,3,7,6.25,1,1,1,5.666666667
dropout,15,male,0,yes,5,6.75,4,2.25,1,1,4.666666667
no dropout,15,male,2,no,5,6.75,7,1,1,1,7
no dropout,15,male,0,no,5,7,2.5,1,1,1,5.333333333
no dropout,15,male,0,no,5,7,6,1,1,1,6.666666667
dropout,15,female,0,yes,4,7,2,1,1,1,5.333333333
no dropout,15,male,0,no,5,7,4,1,1.25,1,6.333333333
no dropout,15,male,0,no,5,7,4,1,1,1,7
no dropout,15,male,0,no,4,6.75,5,1.75,1,1,3.5
no dropout,15,male,0,yes,4,7,6.5,1.5,1,1,5.166666667
no dropout,15,female,0,yes,5,7,7,1,1,1,6
no dropout,15,male,0,no,3,7,2,1,1,1,4.166666667
no dropout,15,female,0,no,4,7,2.5,1.25,1,2,5.166666667
no dropout,15,male,0,no,3,7,3,2,2,1,4.666666667
no dropout,15,male,0,yes,3,7,4.75,1.5,1,1,4.166666667
no dropout,15,male,0,yes,4,7,3.25,1,1,2,4.833333333
no dropout,15,male,0,no,5,7,4,1.5,1,1,7
no dropout,15,female,0,no,4,3,1.5,1.5,3.5,2,2.833333333
,15,male,0,no,3,6.25,4,2.25,1.25,1.75,4.5
no dropout,15,female,0,yes,4,7,5.25,1,1,1,5.333333333
no dropout,15,male,0,no,4,7,4,1.25,2.25,1,4.666666667
no dropout,15,male,0,no,3,6.75,1.25,1.75,1,2.5,3.833333333
dropout,15,female,0,no,4,7,6,1,1,1,4.5
dropout,15,male,1,yes,4,6,4,1.25,1,3.25,4.666666667
no dropout,15,female,0,no,5,5.75,3.25,4.25,2,4.5,4
no dropout,15,female,0,yes,5,7,4,1,1,1,5.5
no dropout,15,female,0,no,4,6.75,4.75,1.75,1,1,6.166666667
no dropout,15,female,1,yes,5,7,5,1,1,1,5
no dropout,15,female,0,no,3,6.25,2.666666667,1.25,1.25,1.25,5.833333333
no dropout,15,female,1,no,3,6.75,5.25,2.5,1.75,1.5,5.333333333
dropout,15,female,0,yes,5,7,5.5,3,1.75,1,6.5
no dropout,15,male,2,yes,3,7,4.25,1.5,1,2,6.666666667
no dropout,15,male,0,no,5,5.75,4.75,1.5,1,1,3
no dropout,15,female,0,no,4,4.5,1.75,2.5,3.5,2.25,4.666666667
dropout,15,male,1,no,5,7,3,1,1,1,5.833333333
dropout,15,male,2,no,4,7,5.5,1,1,1,4.166666667
dropout,15,female,0,no,5,5.75,3,1.25,1.5,1.75,3.5
no dropout,15,male,0,yes,3,7,2.25,2,1,1,5.333333333
no dropout,15,male,0,no,5,6.25,4.75,3,1.75,2.25,5.5
dropout,15,female,0,no,4,7,4,1,1,1,6.333333333
dropout,15,male,0,no,4,6.75,4.5,2,2,1.25,4
no dropout,15,male,0,no,4,2.5,1.75,1.75,2.25,1.75,4.833333333
no dropout,15,female,1,no,5,7,5.25,1,1,1,6.666666667
no dropout,15,female,0,no,4,5.5,4,4.5,3.5,4,4.333333333
dropout,15,male,0,no,3,6.75,2,2.5,1.75,1,2.166666667
no dropout,15,male,0,yes,5,7,4,1,2,1,5.666666667
no dropout,15,male,1,yes,4,7,5.75,1,3.5,3.25,6
no dropout,15,male,0,no,5,7,7,1,1,1,6.666666667
dropout,15,male,0,yes,5,4,4.5,1.75,2,2.5,3
no dropout,15,female,1,yes,5,7,6.75,1.25,1.5,1.25,6.833333333
no dropout,15,male,0,no,4,5.25,4,4.5,3.75,1.75,4.166666667
no dropout,15,female,0,yes,3,7,5.25,1.25,1.5,1.25,5.5
no dropout,15,male,1,no,4,7,4,1,1,1,4
no dropout,15,male,0,no,4,7,3.5,1.5,1.75,1.5,6.166666667
no dropout,15,female,1,yes,5,4.25,2.5,3.25,3.75,2.75,5.166666667
,15,male,0,yes,4,4.75,5.75,3.25,5,3.75,5.5
no dropout,15,female,0,no,5,7,5.25,1.5,2,1,6.333333333
no dropout,15,male,1,no,4,6.75,5.25,1.75,1,1,5.833333333
no dropout,16,male,1,no,4,6,2.25,1,1,1,5.666666667
dropout,16,male,0,no,4,6,6.25,6.75,6.5,4.25,2.666666667
no dropout,16,male,0,no,5,7,3.25,1,1.25,1,6.666666667
no dropout,16,male,0,no,4,7,1,1,1,1,6.833333333
,16,male,0,yes,5,7,2.5,1,1,1,6.833333333
dropout,16,male,0,no,5,7,6.5,1,1,1,7
dropout,16,female,0,no,4,5,2.75,3,1.75,2.75,6
no dropout,16,male,0,no,4,7,2.75,1,1,1,6
no dropout,16,male,0,yes,5,7,4.25,1,1,1,5.833333333
no dropout,16,male,0,no,5,7,5,1,1,1.75,4.666666667
no dropout,16,male,0,no,3,7,4.25,1,1,1,4.833333333
no dropout,16,male,0,yes,4,7,4.75,1.5,1,1.25,5.5
no dropout,16,male,0,yes,3,7,4.25,2.75,1,1,6.833333333
no dropout,16,male,0,no,5,7,3.75,1,1,1,6.5
no dropout,16,male,0,no,5,7,3,1,1,1,4.666666667
,16,male,0,no,3,4.25,5.25,2.5,4.75,3.25,3.166666667
dropout,16,male,1,no,4,7,6.25,1,1.75,3.75,5.5
no dropout,16,male,0,no,4,6,4.75,1.25,1.75,1.5,3.333333333
no dropout,16,male,0,yes,4,7,5,1,1,1,6.333333333
no dropout,16,male,0,no,5,6.25,2.25,1.75,1,1,6.5
no dropout,16,female,1,yes,3,6,4.75,3,3,2,5
no dropout,16,male,0,no,5,6.5,3.5,1.25,2,1.5,5.5
no dropout,16,male,0,yes,5,7,4.5,1,1,1,6.166666667
no dropout,16,male,1,no,5,7,4.75,1,1,1,7
no dropout,16,male,0,yes,5,7,1.75,1.75,1,1,5.833333333
no dropout,16,male,1,no,3,7,4.75,1,1,1,2.5
no dropout,16,male,1,no,5,3.25,3.25,2,3.5,2,4.833333333
no dropout,16,male,0,yes,5,7,4.25,1,1,1,6.833333333
no dropout,16,male,1,yes,5,7,4,1.5,1,1,5.5
no dropout,16,male,0,yes,4,4.5,2.5,4,2.5,4,4.666666667
no dropout,16,male,1,yes,5,7,4,1.5,1.5,1,5
no dropout,16,male,1,yes,5,7,7,1,1,1,5.5
no dropout,16,male,0,yes,3,7,6.75,3,1,1.25,5.833333333
no dropout,16,male,0,no,4,5.5,1.75,2.5,2,2,5.166666667
no dropout,16,male,1,no,5,6.75,4.75,1,1,1,6.833333333
dropout,16,male,0,yes,4,6.75,3.5,1.5,1.25,2,4.5
no dropout,16,male,0,no,5,6.75,5.25,6,4,1.75,4.333333333
no dropout,16,male,0,yes,5,7,6.25,1.25,1,1,5.333333333
no dropout,16,female,0,yes,3,7,3,1,1,1,5.5
dropout,16,male,0,no,4,7,2.5,1,1,1,7
dropout,16,male,0,yes,3,7,3.25,2,2.25,1.25,5
dropout,16,male,0,no,3,7,3.5,1.5,1,1,3.333333333
dropout,16,male,0,yes,5,5,5.25,5,1,3.25,7
no dropout,16,male,0,no,4,6.5,6.75,3.5,1.5,2,5.333333333
no dropout,16,female,0,no,5,7,5,1.25,1,1,2.333333333
no dropout,16,male,0,yes,3,7,7,2.5,1,1,5.333333333
no dropout,16,male,0,yes,4,7,2.75,1,1,1,6.166666667
dropout,16,female,0,yes,5,4.5,6,4.25,2.75,1.75,4.666666667
dropout,16,male,0,yes,5,7,5.25,1,1,1,5
dropout,16,female,0,no,4,7,6,1,1,1.75,6.833333333
no dropout,16,male,0,yes,4,7,4.75,1,1.25,1,4.666666667
no dropout,16,male,1,no,3,6.75,6.5,2,1.25,1.25,5.833333333
no dropout,16,male,0,no,5,7,4,1,1,1,7
no dropout,16,male,2,yes,4,6.75,3.25,2.5,1.25,1.5,5.5
no dropout,16,male,0,yes,3,7,5.25,2.25,1.25,1,5.333333333
no dropout,16,male,0,yes,5,7,5.75,2.5,1.25,1,6.5
no dropout,16,male,0,no,5,6.75,4,2.5,1.75,1.75,5.666666667
no dropout,16,male,1,yes,5,7,2.75,1.5,1,1,3.666666667
no dropout,16,male,0,yes,5,7,6.75,1.5,3,1,3.833333333
dropout,16,male,2,,,4.25,3.5,3.5,5,3.5,5.833333333
dropout,16,male,1,no,5,7,3,1,1,2,7
dropout,16,female,1,no,4,7,2.25,1,1,1,3.5
no dropout,16,male,1,no,4,7,4.5,2.5,1,1,6.166666667
no dropout,16,male,0,no,3,7,4,1.5,1.5,1.75,4
no dropout,16,male,0,yes,5,6.5,3,1.25,1,1,4.833333333
no dropout,16,male,0,no,4,7,5.75,1,1.5,1,7
no dropout,16,male,0,no,5,7,6.75,1,1.75,1,7
no dropout,16,male,1,yes,4,4.5,2.5,3.5,3,2,6.166666667
no dropout,16,male,0,no,3,6.75,6.5,5.5,3.25,1.75,4.333333333
no dropout,16,male,0,no,4,7,7,1,1,1,6.666666667
no dropout,16,male,1,no,5,7,4,1,1,1,5
no dropout,16,female,0,yes,5,6.5,3.75,2.25,2.75,1.75,3.833333333
no dropout,16,female,0,no,3,7,5.5,1,1,1,7
no dropout,16,male,1,no,5,5.75,5.5,3.75,3.5,4.5,4.333333333
no dropout,16,male,0,no,5,7,1,1,1,1,7
no dropout,17,male,1,no,5,7,6.75,1,1,1,7
no dropout,17,male,1,yes,4,7,6.75,1,1,1,7
no dropout,17,male,0,yes,3,7,3,3,2.5,1,3.5
dropout,17,male,0,no,3,6,4.75,2.5,1.25,1,5.5
dropout,17,male,0,no,4,3,1,1,1,2.25,5.166666667
no dropout,17,female,0,no,5,7,3.5,1,1,1.25,6.5
dropout,17,male,0,no,4,7,7,1,1,1,4.833333333
no dropout,17,male,0,yes,5,7,4,1.25,2.75,1,5.333333333
no dropout,17,male,0,no,5,7,4.75,1,1,1,6.166666667
dropout,17,male,0,yes,4,6.75,4,1,1,1,4.666666667
no dropout,17,male,0,yes,5,7,2.75,1,1,1,5
dropout,17,male,0,no,3,7,4,1.25,1,1,5
dropout,17,male,0,yes,5,7,4.75,1,1,1,1.833333333
no dropout,17,male,1,yes,5,7,4.25,1.75,1,1,6.333333333
no dropout,17,male,0,no,4,7,2.75,1,1,1,4.833333333
dropout,17,male,1,no,4,7,5.5,1,2.75,1,5.5
dropout,17,female,1,no,4,4.75,5,3.25,2.75,2.25,3.5
no dropout,17,male,0,no,5,7,5,3,4,1.75,6.333333333
no dropout,17,male,0,no,4,7,4.25,1,1,1,6.833333333
no dropout,17,female,1,no,5,6.5,3.75,1.5,2,1,4.5
no dropout,17,female,1,no,5,7,5.75,1.5,1.5,1,5.166666667
no dropout,17,female,0,no,5,7,4.5,1.25,1.25,1.25,4.666666667
no dropout,17,female,0,no,5,7,4.5,1,1,1,7
dropout,17,male,1,no,5,7,5.5,1.25,1.25,1.25,6.333333333
no dropout,17,male,1,yes,3,5.75,4.25,3.25,2.25,2.25,2.833333333
no dropout,17,male,0,no,5,7,6,1,1,1,6.5
no dropout,17,male,0,yes,5,7,3.75,1,1,1.25,5
no dropout,17,male,0,yes,4,7,5,1,1,1,5.5
dropout,17,female,1,no,5,7,5.25,1,1,1,6.5
no dropout,17,female,0,yes,5,7,4.25,1,1,1,4.5
dropout,17,male,0,yes,3,5.5,5.25,1.75,2.5,1,4.333333333
no dropout,17,male,0,yes,5,7,4,1.75,1,1,2
,17,female,0,yes,4,7,3.5,1,1.75,1,6.5
dropout,17,female,1,,2,2.25,2,3.75,2.5,2.25,4.333333333
dropout,17,male,1,no,4,6.5,3.75,1.75,1.25,1.75,3.166666667
no dropout,17,female,0,no,5,6.75,5.75,1,1,1.75,3.333333333
dropout,17,male,0,yes,3,5,2.5,3.25,2.75,1.75,3.333333333
dropout,17,female,0,no,5,6,4.5,1.5,1,3.75,6.333333333
dropout,17,female,0,no,5,7,5.75,2.25,2.25,1,5.5
no dropout,17,female,0,no,5,6.25,6.25,2,1,1.25,6.166666667
no dropout,17,male,0,no,5,2.75,4.25,2.5,5.75,2.5,3.333333333
no dropout,17,female,0,no,5,7,5,1,1,1,6.666666667
dropout,17,male,0,yes,2,7,1,1,1,1,2.333333333
no dropout,17,male,0,yes,5,7,4.75,1,1,1,6.333333333
no dropout,17,female,0,no,5,7,5.25,1,2.25,1,6.833333333
no dropout,18,female,0,no,3,5.5,4,2.5,2.75,2,5.333333333
